"#","Class Name","Schedule","Program","Gender","Age Range","Max Enroll","Current Enroll","Openings","Trials","Make Ups","Price"
"199","Swim_Cls_Sat4:30pm_BUB","Sa  - 04:30 PM - 05:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"200","Swim_Cls_Sat4:00pm_SPR/RCR","Sa  - 04:00 PM - 05:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"201","Swim_Cls_Sat4:00pm_GLD","Sa  - 04:00 PM - 04:45 PM","Swim Classes","C","6 - 12","8","1","7","0","0","$ 226.00"
"202","Swim_Cls_Sat4:00pm_ELITE","Sa  - 04:00 PM - 05:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"203","Swim_Cls_Sat4:00pm_CRL","Sa  - 04:00 PM - 04:45 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"204","Swim_Cls_Sat4:00pm_CRL","Sa  - 04:00 PM - 04:45 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"205","Swim_Cls_Sat4:00pm_BUB1","Sa  - 04:00 PM - 04:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"206","Swim_Cls_Sat4:00pm_BUB","Sa  - 04:00 PM - 04:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"207","Swim_Cls_Sat3:30pm_BUB2/3","Sa  - 03:30 PM - 04:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"208","Swim_Cls_Sat3:30pm_BUB","Sa  - 03:00 PM - 03:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"209","Swim_Cls_Sat3:15pm_GLD","Sa  - 03:15 PM - 04:00 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"210","Swim_Cls_Sat3:15pm_GLD","Sa  - 03:15 PM - 04:00 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"211","Swim_Cls_Sat3:15pm_CRL1/2","Sa  - 03:15 PM - 04:00 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"212","Swim_Cls_Sat3:00pm_SPR/RCR","Sa  - 03:00 PM - 04:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"213","Swim_Cls_Sat3:00pm_SPR/RCR","Sa  - 03:00 PM - 04:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"214","Swim_Cls_Sat3:00pm_BUB1","Sa  - 03:00 PM - 03:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"215","Swim_Cls_Sat3:00pm_BUB","Sa  - 03:00 PM - 03:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"216","Swim_Cls_Sat2:30pm_GLD","Sa  - 02:30 PM - 03:15 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"217","Swim_Cls_Sat2:30pm_GLD","Sa  - 02:30 PM - 03:15 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"218","Swim_Cls_Sat2:30pm_CRL1/2","Sa  - 02:30 PM - 03:15 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"219","Swim_Cls_Sat2:30pm_BUB1/2","Sa  - 02:30 PM - 03:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"220","Swim_Cls_Sat2:30pm_BUB","Sa  - 02:30 PM - 03:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"221","Swim_Cls_Sat2:00pm_SPR/RCR/CHL","Sa  - 02:00 PM - 03:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"222","Swim_Cls_Sat2:00pm_SPR/RCR","Sa  - 02:00 PM - 03:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"223","Swim_Cls_Sat2:00pm_BUB","Sa  - 02:00 PM - 02:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"224","Swim_Cls_Sat2:00pm_BUB","Sa  - 02:00 PM - 02:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"225","Swim_Cls_Sat1:45pm_GLD","Sa  - 01:45 PM - 02:30 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"226","Swim_Cls_Sat1:45pm_CRL1/2","Sa  - 01:45 PM - 02:30 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"227","Swim_Cls_Sat1:30pm_BUB1/2","Sa  - 01:30 PM - 02:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"228","Swim_Cls_Sat1:30pm_BUB","Sa  - 01:30 PM - 02:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"229","Swim_Cls_Sat1:00pm_SPR/RCR","Sa  - 01:00 PM - 02:00 PM","Swim Classes","C","6 - 17","14","2","12","0","0","$ 248.00"
"230","Swim_Cls_Sat1:00pm_GLD","Sa  - 01:00 PM - 01:45 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
